Sample	posterior	ESS(posterior)	likelihood	prior	
0	-4835.1562449924	4.7	-4830.497444070318	-4.65880092208216	
1	-4834.16336633417	4.8	-4830.2396075089	-3.9237588252703306	
2	-4832.468049914932	4.9	-4829.00589679877	-3.462153116161714	
3	-4832.468049914932	4.9	-4829.00589679877	-3.462153116161714	
4	-4831.666501840335	5.0	-4827.867439881092	-3.7990619592425237	
5	-4827.267823094677	5.4	-4822.03008064596	-5.237742448716632	
6	-4827.267823094677	5.4	-4822.03008064596	-5.237742448716632	
7	-4827.267823094677	5.4	-4822.03008064596	-5.237742448716632	
8	-4827.267823094677	5.4	-4822.03008064596	-5.237742448716632	
9	-4827.267823094677	5.4	-4822.03008064596	-5.237742448716632	
10	-4826.0709211011845	5.5	-4821.608786236868	-4.462134864316958	
11	-4826.0709211011845	5.5	-4821.608786236868	-4.462134864316958	
12	-4825.12714963456	5.6	-4820.664271209183	-4.462878425376506	
