Sample	posterior	ESS(posterior)	likelihood	prior
0	-8380.053134529953	N	-8370.84632400814	-9.206810521813106
1000	-7819.4866257460735	2.0	-7813.616004496917	-5.870621249156493
2000	-7816.806789028258	3.0	-7813.051992662562	-3.754796365696294
3000	-7824.752218961943	4.0	-7815.9232498963365	-8.82896906560636
4000	-7820.881578479771	5.0	-7813.296134803616	-7.5854436761545045
5000	-7818.7142154954245	6.0	-7814.811684703282	-3.9025307921428185
6000	-7816.016694159904	7.0	-7812.168129619475	-3.8485645404285638
7000	-7818.281446863932	8.0	-7814.189415772475	-4.092031091457077
8000	-7817.632149567305	9.0	-7812.086950400407	-5.545199166898241
9000	-7817.595294343479	9.0	-7813.81403985478	-3.781254488698013
10000	-7817.036632243446	8.4	-7813.0176886096415	-4.018943633804051
11000	-7816.0447580667915	7.6	-7811.825643665546	-4.219114401245781
12000	-7816.584070442058	7.1	-7812.341842318685	-4.242228123373216
13000	-7815.987922398709	6.5	-7812.025809349332	-3.962113049376812
14000	-7816.45365560489	6.1	-7812.654006501854	-3.799649103034883
15000	-7815.493742114118	5.6	-7811.860322418497	-3.6334196956207903
16000	-7815.635745246067	5.4	-7811.0746106317265	-4.5611346143401725
17000	-7818.607692372808	6.2	-7814.206553094905	-4.40113927790261
18000	-7817.14803242769	6.4	-7812.3302313692875	-4.817801058402443
19000	-7817.782085602669	7.8	-7813.755990346702	-4.026095255967693
20000	-7818.235181427262	8.5	-7814.517613057207	-3.7175683700556443
21000	-7815.814707746318	8.9	-7811.989467259783	-3.8252404865347898
22000	-7815.122769957852	9.7	-7810.932593847371	-4.190176110481035
23000	-7818.10069640263	10.2	-7813.625066326574	-4.475630076055976
24000	-7815.800442239947	10.7	-7811.881747998087	-3.9186942418602904
25000	-7818.502378674429	11.5	-7814.215368368829	-4.287010305599486
26000	-7819.570942164966	14.1	-7814.864587560038	-4.7063546049285305
27000	-7817.398597258109	14.7	-7812.379888360853	-5.018708897255381
28000	-7816.577798379883	15.8	-7811.817355255068	-4.760443124814434
29000	-7818.321027941134	12.4	-7813.584390957832	-4.736636983302588
30000	-7817.171312167585	13.1	-7813.015697941125	-4.155614226460147
31000	-7819.018555678277	12.8	-7813.227774246717	-5.790781431560296
32000	-7815.771487395186	14.8	-7811.056899586113	-4.714587809072902
33000	-7818.049823297138	15.2	-7814.139831182359	-3.909992114779402
34000	-7817.893375202382	15.7	-7813.535200453487	-4.358174748895338
35000	-7821.332078557584	15.6	-7815.363255680057	-5.968822877527424
36000	-7815.891051953763	17.7	-7811.927874672601	-3.963177281161415
37000	-7816.9293916462	18.8	-7812.865047674851	-4.0643439713494125
38000	-7817.936612216943	19.3	-7812.188436325011	-5.7481758919316235
39000	-7821.228560734942	20.8	-7817.147742268588	-4.080818466353853
40000	-7817.383049809085	37.0	-7812.463311233398	-4.919738575687431
41000	-7816.6806970438465	38.0	-7812.864689775748	-3.8160072680988115
42000	-7818.253162082409	39.0	-7813.2333250361735	-5.01983704623607
43000	-7819.994333454539	40.0	-7815.731596507141	-4.262736947397574
44000	-7820.494626062688	19.1	-7815.111460920431	-5.383165142256631
45000	-7818.176301390991	18.7	-7812.564497081776	-5.61180430921537
46000	-7816.848954618877	20.1	-7811.940853644839	-4.9081009740375645
47000	-7815.899780454829	23.0	-7811.06290611106	-4.836874343768945
48000	-7821.818591638768	45.0	-7813.745226029682	-8.07336560908588
49000	-7817.750154547032	45.0	-7812.809014766387	-4.941139780645637
50000	-7815.384402600625	46.0	-7811.286526397986	-4.097876202640035
51000	-7817.318940200569	47.0	-7812.715239522095	-4.603700678474107
52000	-7819.142646022104	48.0	-7814.449936904631	-4.692709117472637
53000	-7817.019400864521	49.0	-7812.773477239694	-4.245923624826625
54000	-7816.480341882012	50.0	-7811.860860616698	-4.619481265313977
55000	-7817.463881807006	51.0	-7813.159167618954	-4.304714188052322
56000	-7819.726076189079	52.0	-7814.586804317143	-5.139271871935817
57000	-7815.819583738668	53.0	-7811.746135961353	-4.073447777316153
58000	-7817.775013320196	54.0	-7813.397938815361	-4.377074504834839
59000	-7817.925717500993	54.0	-7813.994730058251	-3.9309874427428557
60000	-7817.26207971036	55.0	-7813.274692922704	-3.987386787656108
61000	-7815.007014551143	56.0	-7811.212778009427	-3.7942365417155495
62000	-7819.234301554627	57.0	-7812.298901265307	-6.935400289319329
63000	-7818.491643003616	58.0	-7813.993818080238	-4.4978249233784835
64000	-7815.526256456279	59.0	-7811.398300390654	-4.127956065625015
65000	-7819.678706736663	60.0	-7815.125535461782	-4.553171274880321
66000	-7818.874919356199	61.0	-7813.409954865431	-5.464964490767448
67000	-7819.992531443597	62.0	-7815.747079897348	-4.245451546248249
68000	-7819.983787892808	63.0	-7815.515472463526	-4.468315429282814
69000	-7818.162372704931	63.0	-7813.973809431829	-4.1885632731021625
70000	-7817.903347726092	64.0	-7813.347620654771	-4.555727071321085
71000	-7822.8300604069655	65.0	-7818.541233581365	-4.288826825600028
72000	-7817.398597699395	66.0	-7812.724889539804	-4.673708159590936
73000	-7815.061315634144	67.0	-7810.996180287357	-4.065135346787775
74000	-7818.451778355892	68.0	-7812.436906461549	-6.01487189434274
75000	-7815.531494025354	69.0	-7811.31279177057	-4.218702254783754
76000	-7817.605923579891	70.0	-7813.648927993243	-3.9569955866479996
77000	-7816.891112263947	71.0	-7811.84544259476	-5.045669669186737
78000	-7817.165927178506	72.0	-7812.954724397952	-4.211202780552914
79000	-7817.8554681263895	72.0	-7812.952502635544	-4.902965490845137
80000	-7817.675623296983	73.0	-7813.524488911593	-4.1511343853902485
81000	-7820.406710505264	74.0	-7815.077206711987	-5.3295037932769915
82000	-7816.475814307435	75.0	-7812.33433701767	-4.141477289764837
83000	-7815.44023838289	76.0	-7811.4676237768235	-3.9726146060670287
84000	-7816.669831607435	77.0	-7811.7717556952575	-4.898075912177433
85000	-7816.437703361567	78.0	-7812.304142574504	-4.133560787063624
86000	-7818.919670024248	79.0	-7813.949517478049	-4.97015254619987
87000	-7815.9763691025255	80.0	-7811.805664916997	-4.170704185529134
88000	-7818.089014085266	81.0	-7814.214908623301	-3.874105461964802
89000	-7817.48602909121	81.0	-7813.044651827171	-4.441377264039315
90000	-7815.607297225222	82.0	-7810.734421381049	-4.872875844172881
91000	-7816.282047536704	83.0	-7811.724478769735	-4.557568766969544
92000	-7820.664837761786	84.0	-7816.133988145701	-4.530849616084976
93000	-7818.0557089370795	85.0	-7812.582841550928	-5.472867386151719
94000	-7816.645120949875	86.0	-7812.78440379062	-3.8607171592549725
95000	-7817.4296039903675	87.0	-7812.514079456777	-4.915524533590649
96000	-7815.227575931865	88.0	-7811.270784659575	-3.9567912722906056
97000	-7818.415038188087	89.0	-7811.476799490323	-6.938238697763925
98000	-7820.41133042892	90.0	-7816.1185559673995	-4.292774461521267
99000	-7820.386891151946	90.0	-7814.430754662846	-5.956136489099363
100000	-7815.900608771465	91.0	-7811.369322944943	-4.531285826522018
101000	-7817.501501291978	92.0	-7813.2507521198595	-4.250749172117811
102000	-7815.839133056948	93.0	-7811.732125000152	-4.107008056796113
103000	-7818.093237526966	94.0	-7812.213176106829	-5.880061420136821
104000	-7816.518569932104	95.0	-7812.568701697078	-3.949868235026222
105000	-7816.484845285759	96.0	-7812.027304624672	-4.457540661086832
106000	-7818.45840224228	97.0	-7811.899483181744	-6.55891906053624
107000	-7818.142545754875	98.0	-7812.425450111415	-5.717095643460206
108000	-7817.547766531425	99.0	-7812.7689365017795	-4.778830029645374
109000	-7819.701954988584	99.0	-7814.914520155684	-4.787434832900001
110000	-7816.951745117463	100.0	-7812.221030616776	-4.730714500686787
