#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-8282.183960715036	-8272.977150193223	-9.206810521813106	-8272.977150193223	2.4493758557856564	-9.206810521813106	1.0	0.5
1000	-7486.337384938972	-7481.769238028718	-4.568146910254112	-7481.769238028718	0.8949861671697239	-4.568146910254112	1.4485322416774273	0.5664232403026234
2000	-7488.395697820138	-7483.9084103475025	-4.487287472635422	-7483.9084103475025	0.9935602837506617	-4.487287472635422	1.8899290180870247	0.2234976466853074
3000	-7486.567651229	-7482.55105441731	-4.016596811689769	-7482.55105441731	0.9978898992276447	-4.016596811689769	1.9117263105140807	0.14371667557235027
4000	-7488.927301274631	-7484.362550114198	-4.564751160432758	-7484.362550114198	1.0849416539822785	-4.564751160432758	1.7496459220083458	0.2279436191417288
5000	-7485.090276010047	-7481.651176714221	-3.4390992958258035	-7481.651176714221	0.9245133003639494	-3.4390992958258035	1.0896688944611068	0.1120749769417996
6000	-7485.440030048796	-7481.695281654607	-3.7447483941889668	-7481.695281654607	0.934057399164986	-3.7447483941889668	0.9945144513995804	0.4647501729784128
7000	-7486.979520121918	-7483.129969792123	-3.8495503297948668	-7483.129969792123	0.9210554456438644	-3.8495503297948668	0.9579067985481947	0.5150452598878418
8000	-7490.729610172531	-7484.300163608322	-6.429446564208378	-7484.300163608322	1.100604158704857	-6.429446564208378	1.8071950385507665	0.5719747762874813
9000	-7493.622885392695	-7489.641495513226	-3.981389879468904	-7489.641495513226	1.0513535158206484	-3.981389879468904	0.8160290062196773	0.33545749491664434
10000	-7487.694200302517	-7483.585776174752	-4.10842412776452	-7483.585776174752	0.929563902131187	-4.10842412776452	0.7938500769299347	0.6647217521124742
11000	-7489.922022638185	-7484.2383759722	-5.683646665985141	-7484.2383759722	1.091620811558801	-5.683646665985141	2.1981408864866787	0.36760741749417
12000	-7485.603326768172	-7481.801808580059	-3.8015181881134166	-7481.801808580059	0.9976747139859548	-3.8015181881134166	1.5451487704575095	0.12840111761397072
13000	-7484.4093729865235	-7480.685631603827	-3.7237413826968964	-7480.685631603827	0.9734717597699469	-3.7237413826968964	0.9015292547885546	0.13985150903675422
14000	-7489.718668232466	-7485.505560465673	-4.213107766793455	-7485.505560465673	1.001159679755119	-4.213107766793455	1.561465759766336	0.3079411016816323
15000	-7485.019591284744	-7481.570681056788	-3.4489102279561448	-7481.570681056788	0.9200261726069521	-3.4489102279561448	1.1223070517710492	0.2167002086567999
16000	-7485.566891736263	-7481.845570194415	-3.721321541847862	-7481.845570194415	1.0338962146506359	-3.721321541847862	1.4281968720573175	0.08757409180524191
17000	-7486.6877613612805	-7483.303447619578	-3.384313741702486	-7483.303447619578	0.9760460862416214	-3.384313741702486	1.138792749525201	0.12044735279323504
18000	-7485.0743686231	-7480.881902383145	-4.1924662399549995	-7480.881902383145	0.9296844582730542	-4.1924662399549995	1.5943300141825818	0.41470231625773313
19000	-7487.96609089695	-7482.207454892199	-5.758636004750401	-7482.207454892199	0.9836687638766108	-5.758636004750401	1.7470641773901185	0.564170905217195
20000	-7485.722813431014	-7481.186796970914	-4.536016460101019	-7481.186796970914	0.9234019164971023	-4.536016460101019	2.318436792826318	0.20505565948033627
21000	-7483.889691709955	-7480.400401388667	-3.4892903212874566	-7480.400401388667	0.9599521067041584	-3.4892903212874566	1.1403003658340305	0.102809388725141
22000	-7486.29068665931	-7482.328128862317	-3.9625577969934382	-7482.328128862317	1.000378996956589	-3.9625577969934382	1.6340530586424156	0.2208359333223994
23000	-7487.259210884782	-7482.589833966775	-4.669376918007449	-7482.589833966775	0.956799086818901	-4.669376918007449	1.8630107178348172	0.33613698949787063
24000	-7486.37372839244	-7481.175066562009	-5.198661830430648	-7481.175066562009	1.0056076688242783	-5.198661830430648	2.5207017857394636	0.18301019478230654
25000	-7488.494808717105	-7483.320080194207	-5.174728522898501	-7483.320080194207	1.069433390232643	-5.174728522898501	0.4655344871148815	0.17480789010464293
26000	-7486.531220102993	-7482.803445619851	-3.7277744831420967	-7482.803445619851	1.0032170403712573	-3.7277744831420967	1.5524341697230442	0.12604157448533093
27000	-7485.7723721595785	-7481.991461249375	-3.780910910204039	-7481.991461249375	0.9865222630417537	-3.780910910204039	0.935017088798208	0.45131859166489285
28000	-7488.570330039894	-7484.130731842122	-4.4395981977717645	-7484.130731842122	0.9148655419829104	-4.4395981977717645	1.8862866093159136	0.3755830871475321
29000	-7485.23915823406	-7481.983690547225	-3.2554676868345274	-7481.983690547225	0.899985386734793	-3.2554676868345274	1.2845764543539022	0.09703010263192467
30000	-7485.79616900096	-7482.390891176685	-3.4052778242747856	-7482.390891176685	0.9467801091830553	-3.4052778242747856	1.6188860043746103	0.0450627443655258
31000	-7486.666334309222	-7482.720889424901	-3.9454448843214545	-7482.720889424901	1.0340942713829504	-3.9454448843214545	0.8199414152967508	0.1583825932275494
32000	-7485.724420151427	-7481.859914468305	-3.864505683122131	-7481.859914468305	0.9219798108874884	-3.864505683122131	0.6767207980565831	0.3510390184172588
33000	-7486.17883509619	-7482.354301121292	-3.8245339748974554	-7482.354301121292	0.987125032086372	-3.8245339748974554	0.66768883700016	0.5154641803439952
34000	-7487.115718625631	-7483.496897306638	-3.618821318993594	-7483.496897306638	0.9114259297164956	-3.618821318993594	1.4233926799672756	0.31999117000317906
35000	-7486.8470110663	-7483.012958282754	-3.8340527835465243	-7483.012958282754	0.9168653598714183	-3.8340527835465243	1.6034636331139234	0.2393812543321274
36000	-7491.268570492953	-7485.216721448149	-6.051849044803503	-7485.216721448149	0.9533512300021539	-6.051849044803503	2.5340907547561025	0.3148662756116169
37000	-7486.756253948624	-7483.160708595018	-3.595545353606182	-7483.160708595018	0.9577564994099175	-3.595545353606182	1.5532496590477525	0.13302979367240483
38000	-7488.76450335027	-7484.519850191459	-4.244653158810834	-7484.519850191459	0.977663487494986	-4.244653158810834	1.4641913142883092	0.4301189845156312
