Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-11031.5673342785	-11032.599938800142	N	-11031.5673342785	-1.0326045216418254
1	-10934.548512232439	-10933.5456422544	2.0	-10934.548512232439	1.002869978039116
2	-10508.034248168718	-10509.26973097784	3.0	-10508.034248168718	-1.2354828091207768
3	-9942.49436857082	-9945.105820052122	4.0	-9942.49436857082	-2.611451481301541
4	-8477.691997036525	-8485.223912873375	3.7	-8477.691997036525	-7.531915836849449
5	-8300.99284881988	-8321.153787202928	2.6	-8300.99284881988	-20.160938383046634
6	-8133.426208541593	-8142.3656657531	2.2	-8133.426208541593	-8.939457211507271
7	-8006.671337300895	-8012.477672048109	2.3	-8006.671337300895	-5.806334747213878
8	-7989.636371324948	-7996.700303499865	2.4	-7989.636371324948	-7.063932174916626
9	-7941.676219354031	-7947.952967458105	2.7	-7941.676219354031	-6.276748104074348
10	-7935.1872070671325	-7943.318721361485	3.0	-7935.1872070671325	-8.131514294351975
11	-7903.145227114526	-7910.748830208288	3.2	-7903.145227114526	-7.603603093762387
12	-7882.126556040832	-7889.203991153402	3.5	-7882.126556040832	-7.077435112570038
13	-7874.071763613761	-7881.056123580508	3.7	-7874.071763613761	-6.984359966747344
14	-7858.143965661534	-7867.412893499395	3.9	-7858.143965661534	-9.268927837860833
15	-7848.0526854993905	-7854.696241822975	4.0	-7848.0526854993905	-6.6435563235842965
16	-7837.553878591396	-7845.695958826939	4.2	-7837.553878591396	-8.142080235542954
17	-7825.079822196688	-7831.747359180425	4.4	-7825.079822196688	-6.667536983736812
18	-7821.552403914684	-7828.170295773501	4.6	-7821.552403914684	-6.617891858816895
19	-7819.4875554454575	-7826.547097743972	5.8	-7819.4875554454575	-7.0595422985146925
20	-7817.474430408053	-7823.738718450998	6.0	-7817.474430408053	-6.264288042944948
21	-7812.938086115112	-7819.879872859234	6.2	-7812.938086115112	-6.941786744121523
22	-7812.00130065685	-7821.082271739785	6.4	-7812.00130065685	-9.080971082934887
23	-7810.367357790411	-7816.977137017049	6.6	-7810.367357790411	-6.609779226637993
24	-7810.218074452599	-7816.845148971267	6.8	-7810.218074452599	-6.627074518668212
25	-7810.033081416558	-7817.029123971471	7.0	-7810.033081416558	-6.996042554912432
26	-7809.715113801264	-7818.005819231486	7.3	-7809.715113801264	-8.29070543022202
27	-7809.253822513097	-7815.995559540565	7.5	-7809.253822513097	-6.7417370274684325
28	-7808.860866601658	-7815.491608593553	7.7	-7808.860866601658	-6.630741991894594
29	-7807.431136352107	-7815.858201017945	8.6	-7807.431136352107	-8.427064665838
30	-7807.2727899611955	-7814.100418519607	8.7	-7807.2727899611955	-6.827628558411568
31	-7806.833527323438	-7813.553816041124	8.9	-7806.833527323438	-6.720288717686515
32	-7806.479414336477	-7814.579885791858	9.1	-7806.479414336477	-8.100471455380621
33	-7806.19630951843	-7812.7467040300235	9.4	-7806.19630951843	-6.5503945115936695
34	-7806.1046829527095	-7812.817990177169	9.6	-7806.1046829527095	-6.713307224459932
35	-7805.486077132582	-7812.202877016887	9.8	-7805.486077132582	-6.716799884305568
36	-7805.3704075838605	-7812.185142425953	10.0	-7805.3704075838605	-6.814734842092725
37	-7805.258655176047	-7811.862030016143	10.2	-7805.258655176047	-6.6033748400957535
38	-7805.20375148903	-7811.813752341443	10.4	-7805.20375148903	-6.610000852413157
39	-7805.165033260104	-7812.600225694823	5.7	-7805.165033260104	-7.435192434718862
40	-7805.00555732246	-7811.9876425644425	5.8	-7805.00555732246	-6.982085241982923
41	-7804.978465377393	-7812.144140362787	5.9	-7804.978465377393	-7.165674985394055
42	-7804.965944071856	-7813.574613843195	6.0	-7804.965944071856	-8.608669771338587
43	-7804.960934268792	-7812.02457585003	6.2	-7804.960934268792	-7.0636415812375954
44	-7804.955564938457	-7811.599498959761	6.3	-7804.955564938457	-6.643934021303876
45	-7804.906121971046	-7811.606922324837	6.4	-7804.906121971046	-6.700800353790909
46	-7804.845661147841	-7811.571862316524	6.5	-7804.845661147841	-6.726201168682925
47	-7804.797507155904	-7811.420777095194	6.7	-7804.797507155904	-6.623269939290802
