#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin_evidence" name="distribution" x="@birthRate.t:alignment_twin_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin_evidence" name="distribution">
#            <parameter id="kappa1.s:alignment_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin_evidence" name="distribution">
#            <parameter id="kappa2.s:alignment_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin_evidence" id="treeLikelihood.alignment_twin_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin_evidence">
#            <siteModel id="SiteModel.s:alignment_twin_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin_evidence" kappa1="@kappa1.s:alignment_twin_evidence" kappa2="@kappa2.s:alignment_twin_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-11031.5673342785	-11032.599938800142	-11031.5673342785	-1.0326045216418254	-11031.5673342785	0.27409355510519257	1.5485912402139	6.123485184587844	0.2310679968917304	0.25842456649085244	0.2591158589414208	0.2513915776759964	3.8134006500748465	6.053784216412475
1	-10934.548512232439	-10933.5456422544	-10934.548512232439	1.002869978039116	-10934.548512232439	0.18785504535521233	0.6058209390364817	3.0108053329902584	0.22046558927959395	0.2565591312091833	0.265477484366003	0.2574977951452198	4.612538194154102	7.327160270638063
2	-10508.034248168718	-10509.26973097784	-10508.034248168718	-1.2354828091207768	-10508.034248168718	0.31612884094261623	1.7166921573128768	3.0108053329902584	0.22378685395391634	0.24682947476303962	0.2572140612019468	0.2721696100810973	2.7622255803286695	5.4821067742173515
3	-9942.49436857082	-9945.105820052122	-9942.49436857082	-2.611451481301541	-9942.49436857082	0.3836160599120133	1.5292387095325903	3.1497143110182924	0.22344605675983134	0.24283563916913292	0.26346030512882485	0.270257998942211	1.3576233621854823	2.9809912101705613
4	-8477.691997036525	-8485.223912873375	-8477.691997036525	-7.531915836849449	-8477.691997036525	1.1849388661255091	0.8587712640268811	1.0142345051177841	0.19572796858399222	0.2684122992408455	0.2587793227337541	0.27708040944140827	-4.6499925297391265	1.6467348643281186
5	-8300.99284881988	-8321.153787202928	-8300.99284881988	-20.160938383046634	-8300.99284881988	14.872954814002549	0.4208279249328711	1.0142345051177841	0.19010814151792169	0.2717776276484522	0.2843786894069725	0.2537355414266537	-17.30348705190586	0.17036456968883856
6	-8133.426208541593	-8142.3656657531	-8133.426208541593	-8.939457211507271	-8133.426208541593	1.2697983649278337	0.8537234714020894	1.2229749430219947	0.19595842098522284	0.27598151406569194	0.2615809420992839	0.2664791228498014	-5.978794577307163	1.2685549102616287
7	-8006.671337300895	-8012.477672048109	-8006.671337300895	-5.806334747213878	-8006.671337300895	0.5851754941302378	0.846207758324663	0.6243877474548316	0.2010984042968192	0.2756930982183865	0.2657570273548828	0.25745147012991154	-3.031933587359724	2.4612213822817335
8	-7989.636371324948	-7996.700303499865	-7989.636371324948	-7.063932174916626	-7989.636371324948	0.9075600914931993	0.3467822590114507	0.20808218840347723	0.2088329020660793	0.29378669181432904	0.25849389538584955	0.2388865107337422	-3.9386622673282545	1.0881471768008482
9	-7941.676219354031	-7947.952967458105	-7941.676219354031	-6.276748104074348	-7941.676219354031	0.87294054562422	0.685405659743509	0.9541654224067811	0.20209884994992083	0.3047996598868836	0.2537814162038888	0.23932007395930685	-3.4590969925628454	1.7237892163123638
10	-7935.1872070671325	-7943.318721361485	-7935.1872070671325	-8.131514294351975	-7935.1872070671325	1.2853471272347796	0.9045765923960813	0.6739960116424518	0.20900972746831029	0.28593218394998365	0.24537017065437985	0.25968791792732626	-5.332457097070149	1.195229354728927
11	-7903.145227114526	-7910.748830208288	-7903.145227114526	-7.603603093762387	-7903.145227114526	0.9296543024853718	0.8130864438628227	0.904912866763437	0.2022054316204135	0.2903289866730855	0.2507309996111594	0.25673458209534167	-4.773003868575698	1.982089824406935
12	-7882.126556040832	-7889.203991153402	-7882.126556040832	-7.077435112570038	-7882.126556040832	0.776301368528079	0.9475727592168381	1.3686450810304336	0.20589177862901656	0.2723130697652241	0.23951685610938453	0.2822782954963749	-4.0272390428929725	0.8220868464538146
13	-7874.071763613761	-7881.056123580508	-7874.071763613761	-6.984359966747344	-7874.071763613761	0.8857296863418285	0.9097310852042909	0.9106885215691135	0.20425215293198987	0.2864988848337941	0.24430567648278803	0.2649432857514281	-4.122268725564574	1.0295909714548814
