#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8378.641192886098	-8370.84632400814	-7.794868877958134	-8370.84632400814	2.4493758557856564	-7.794868877958134	1.0
1000	-7820.050910304399	-7816.646483237471	-3.4044270669270493	-7816.646483237471	0.7941487320265974	-3.4044270669270493	1.26904458078805
2000	-7819.264701467261	-7815.1688285643595	-4.0958729029015	-7815.1688285643595	0.8925995224467328	-4.0958729029015	1.465774175769807
3000	-7816.5113504604205	-7812.265456293204	-4.245894167217046	-7812.265456293204	0.8252106260447953	-4.245894167217046	2.007588130092976
4000	-7816.17014532147	-7811.8865104234455	-4.28363489802442	-7811.8865104234455	0.8836998174713822	-4.28363489802442	1.8150993652076384
5000	-7814.81879172173	-7810.810365448293	-4.008426273437389	-7810.810365448293	0.8821484160604963	-4.008426273437389	0.9385358715325554
6000	-7816.20056737377	-7812.227461468459	-3.973105905311397	-7812.227461468459	0.9337612435163863	-3.973105905311397	1.3024553057353665
7000	-7816.609495224294	-7812.782160787525	-3.827334436768694	-7812.782160787525	0.9080018295851805	-3.827334436768694	1.519705846571366
8000	-7816.2299321051005	-7812.444636159278	-3.7852959458219155	-7812.444636159278	0.8960617493260167	-3.7852959458219155	1.0856333538651446
9000	-7823.746999863647	-7819.5881058558025	-4.158894007844319	-7819.5881058558025	0.8013527744867435	-4.158894007844319	0.8019890327999137
10000	-7815.847293475616	-7811.502492635025	-4.344800840591521	-7811.502492635025	0.9056813282102079	-4.344800840591521	0.7679078538716936
11000	-7816.312264534725	-7811.5800392252795	-4.732225309445347	-7811.5800392252795	0.9381392887966867	-4.732225309445347	2.0741659769418277
12000	-7817.7603394319885	-7813.798451236037	-3.9618881959514245	-7813.798451236037	0.8792220311207274	-3.9618881959514245	1.1906108806283233
13000	-7819.858129924274	-7814.0480114762295	-5.8101184480448556	-7814.0480114762295	0.8680925115869433	-5.8101184480448556	0.4369703262889603
14000	-7819.377348433271	-7814.921141709667	-4.456206723604634	-7814.921141709667	1.039455258961617	-4.456206723604634	0.8104440948804059
15000	-7816.855903620879	-7812.524246166187	-4.331657454691598	-7812.524246166187	0.905288303229879	-4.331657454691598	1.9149111087331188
16000	-7816.664868638349	-7812.147569569126	-4.517299069222224	-7812.147569569126	0.8949057684425417	-4.517299069222224	0.7078883914347853
17000	-7816.5580908382135	-7812.263099832949	-4.29499100526515	-7812.263099832949	0.8907216910917418	-4.29499100526515	0.789908650655372
18000	-7815.02622714031	-7811.088417263457	-3.937809876852981	-7811.088417263457	0.8956592471364377	-3.937809876852981	1.0730607891587507
19000	-7819.201277856345	-7815.09528230773	-4.105995548615527	-7815.09528230773	0.9045633593828125	-4.105995548615527	0.8596090199759584
20000	-7817.102076679064	-7812.187358098027	-4.914718581037273	-7812.187358098027	0.9034449929410515	-4.914718581037273	2.192494928795905
21000	-7815.522713112024	-7811.697314986049	-3.8253981259745276	-7811.697314986049	0.8563818060328865	-3.8253981259745276	1.0953977321597583
22000	-7817.617196534816	-7813.468276326566	-4.148920208249714	-7813.468276326566	0.9320092524663479	-4.148920208249714	1.4917152993241543
23000	-7819.180963096994	-7815.117264146038	-4.063698950955384	-7815.117264146038	0.8770327650642229	-4.063698950955384	1.8496542221513617
24000	-7818.547595929695	-7813.780585950303	-4.767009979391528	-7813.780585950303	0.9430571070277164	-4.767009979391528	2.205212190415421
25000	-7814.861569503317	-7810.967437437985	-3.894132065332024	-7810.967437437985	0.8606054577620783	-3.894132065332024	1.6200395720986047
26000	-7816.9309195057	-7812.876667950251	-4.054251555448716	-7812.876667950251	0.8929716394158129	-4.054251555448716	0.9106203994833043
27000	-7817.781040919871	-7813.751040478267	-4.030000441603848	-7813.751040478267	0.8826660118059505	-4.030000441603848	1.4172700249354464
28000	-7816.12370338804	-7812.2732273347665	-3.850476053273483	-7812.2732273347665	0.8529196685978504	-3.850476053273483	1.6383599959360742
29000	-7818.632374753071	-7814.118981358347	-4.5133933947242655	-7814.118981358347	0.8135957436424921	-4.5133933947242655	2.1842510101662977
30000	-7819.866984870213	-7816.1139139847	-3.753070885512572	-7816.1139139847	0.8196077494907685	-3.753070885512572	1.0810196490431792
31000	-7817.621956470581	-7812.860424229672	-4.761532240908011	-7812.860424229672	0.8695485247323488	-4.761532240908011	0.6501457765216738
32000	-7817.421974885889	-7813.085165653665	-4.3368092322231515	-7813.085165653665	0.9857601017325721	-4.3368092322231515	1.6073265624165447
